"","pmRA","pmDEC","i_K","Y","J","H","K","ps","pb","RA","Dec","err_RA","err_Dec"
"V592",15.31605052948,-37.1810302734375,3.25895141601562,13.6783742904663,13.1121559143066,12.539999961853,12.2481458282471,0.998822546185357,0.0841774172704851,57.4005073507214,23.939743153571,3.4988489e-07,3.4986445e-07
"V816",17.1759910583496,-41.6780395507812,3.73194789886475,15.4455413818359,14.8006315231323,14.2592344284058,13.8893537521362,0.99881900438245,1.48692452430765e-05,57.1514002501256,25.2614497446953,3.537142e-07,3.5369305e-07
"V316",19.2167892456055,-41.3225288391113,5.39176940917969,16.6381340026855,15.6996173858643,15.0603542327881,14.5046443939209,0.99881709758838,0.99999999994672,57.7173915477592,23.4531166685217,3.8213219e-07,3.8213219e-07
"V390",15.8409996032715,-37.0544242858887,4.76813507080078,16.8472518920898,16.0380687713623,15.4660444259644,14.9362564086914,0.998811725504222,5.69890007406926e-08,55.7007059802391,24.0670105609871,3.2689871e-07,3.2688226e-07
"V60",15.5186138153076,-41.5586585998535,3.28515361785889,13.11399269104,12.5448369598389,11.9540004730225,11.6398666000366,0.998806548948598,0.382839659658326,57.30267559124,25.7019904301308,2.413773e-07,2.4136625e-07
"V236",15.5289096832275,-40.7248573303223,3.16581653594971,13.6328172683716,13.0676593780518,12.4910001754761,12.2095468139648,0.998806023240555,0.0298778068456891,55.7222196259272,23.5186546251847,9.62275e-07,9.615785e-07
"V498",17.2969608306885,-41.3474731445312,3.34597873687744,14.5543489456177,13.9653015136719,13.4565486907959,13.1488637924194,0.998805964177446,0.000833172599606469,56.3047784218945,24.2565225234556,3.0707386e-07,3.0706005e-07
"V328",18.6072120666504,-38.3633499145508,3.7962474822998,14.6266841888428,13.986349105835,13.4433078765869,13.056489944458,0.998805582398336,0.68515075288488,57.4214079393398,23.2498248767011,2.811636e-07,2.811636e-07
"V346",15.4234170913696,-40.2986526489258,6.11785316467285,18.5504531860352,17.4328880310059,16.6810894012451,16.0857830047607,0.99880517717966,0.000134889391804283,58.9477240030294,22.8472578040943,1.5392534e-06,1.5392534e-06
"V766",15.5878486633301,-39.7606544494629,3.66212844848633,15.2927894592285,14.6577911376953,14.1031618118286,13.7456188201904,0.99880449054502,4.07696696024251e-05,56.4629107992544,24.4363494147271,3.0150298e-07,3.0149448e-07
"V880",16.6728343963623,-42.0750350952148,3.94345760345459,15.9724359512329,15.2076740264893,14.6815795898438,14.3494100570679,0.998803281347118,2.97009836724982e-08,55.3764698736801,25.2850333713213,3.4955045e-07,3.4955045e-07
