DANCe,RAJ2000,DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,BTmag,e_BTmag,VTmag,e_VTmag,rmag,e_rmag,gmag,e_gmag,imag,e_imag,Y,err_Y,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Pmb,Teff,e_Teff,Lbol,e_Lbol
J033334.80+285805.6,53.39498777777777,28.96821583333333,0.5,2.9,-1.8,3.0,14.252,0.528,11.938,0.183,11.413,0.1,12.593,0.023,10.842,0.021,,,9.279,0.02,8.563,0.023,8.356,0.018,AAA,8.253,0.022,8.372,0.019,8.336,0.024,8.738,0.38,0.0,0,0,,
J033335.75+243004.8,53.39894333333333,24.50132861111111,7.6,1.5,-11.1,1.5,11.015,0.062,10.611,0.061,10.557,0.1,10.815,0.041,10.496,0.032,,,9.762,0.021,9.643,0.022,9.566,0.017,AAA,9.543,0.022,9.574,0.019,9.588,0.045,,,0.0,0,0,,
J033336.54+281407.1,53.402269722222215,28.235318055555553,2.2,2.2,8.4,2.3,12.725,0.294,11.41,0.122,10.797,0.017,11.797,0.021,10.342,0.0060,,,8.877,0.024,8.281,0.027,8.131,0.029,AAA,8.052,0.023,8.145,0.022,8.047,0.019,8.065,0.219,0.0,0,0,,
J033337.23+280708.7,53.405113611111105,28.11908333333333,-15.1,2.8,-1.4,2.9,13.164,0.37,12.102,0.226,12.266,0.0090,12.798,0.019,12.011,0.02,,,11.008,0.02,10.666,0.022,10.596,0.02,AAA,10.538,0.023,10.559,0.022,10.354,0.064,,,0.0,0,0,,
J033337.64+271849.5,53.406813055555546,27.313747777777774,-4.7,3.9,1.2,3.9,14.075,0.516,11.828,0.172,10.942,0.045,12.397,0.014,10.237,0.046,,,8.411,0.024,7.544,0.033,7.303,0.018,AAA,7.227,0.028,7.365,0.019,7.23,0.018,7.417,0.131,0.0,0,0,,
J033337.81+204641.3,53.40754333333333,20.778151111111107,5.9,1.4,-15.6,1.4,11.98,0.123,11.403,0.114,11.141,0.1,11.488,0.026,11.165,0.429,,,10.168,0.021,9.9,0.019,9.834,0.018,AAA,9.819,0.023,9.858,0.021,9.825,0.046,8.373,0.252,0.0,0,0,,
J033340.71+252315.1,53.41963416666666,25.387529444444443,7.3,1.8,5.6,1.8,12.435,0.21,11.078,0.082,10.407,0.03,11.446,0.038,10.017,0.033,,,8.642,0.024,8.0,0.018,7.883,0.02,AAA,7.811,0.024,7.888,0.021,7.781,0.019,7.605,0.141,0.0,0,0,,
J033341.19+221940.2,53.421635277777774,22.32783,-12.1,1.4,-3.0,1.5,11.908,0.12,11.454,0.124,11.381,0.01,11.791,0.016,11.182,0.039,,,10.238,0.022,9.97,0.019,9.892,0.017,AAA,9.845,0.022,9.865,0.02,9.816,0.048,,,0.0,0,0,,
J033341.67+204204.6,53.423623055555545,20.70129083333333,-7.4,2.5,-3.8,2.7,13.124,0.365,12.127,0.218,12.259,0.1,12.764,0.031,12.199,0.44,,,11.036,0.021,10.794,0.02,10.709,0.019,AAA,10.656,0.024,10.683,0.022,10.572,0.087,,,0.0,0,0,,
J033341.91+245156.2,53.42462388888888,24.86562194444444,46.8,1.7,-36.0,1.7,11.776,0.086,11.256,0.095,10.852,0.018,11.329,0.043,10.686,0.032,,,9.793,0.021,9.466,0.024,9.386,0.018,AAA,9.363,0.024,9.4,0.021,9.448,0.039,8.896,0.462,0.0,0,0,,
