"","pmRA","pmDEC","i_K","Y","J","H","K","ps","pb","RA","Dec","err_RA","err_Dec"
"V6954",16.9562149047852,-16.2032089233398,NA,13.2483367919922,12.7421340560913,12.1808895492554,11.982692489624,0.114803598551561,2.17799178914291e-06,56.0667405055383,19.847285990227,7.880521e-07,7.8735974e-07
"V4494",-3.60355448722839,-36.1655693054199,NA,NA,16.8390007019043,16.2000007629395,15.5629997253418,0.114657305455377,0.0439647878046272,52.1784150676338,20.2297521374984,4.703879e-06,4.7031494e-06
"V67374",1.15302729606628,-11.6072454452515,NA,NA,12.0430002212524,11.3809995651245,11.1244695281982,0.114577329176107,4.50823378628229e-10,56.9926287008711,24.8177417198289,1.372633e-07,1.372633e-07
"V29949",-0.962838053703308,-13.2831144332886,NA,13.7020121383667,13.1142253494263,12.4989995956421,12.2571504211426,0.114561988634492,1.97754974173847e-07,59.6008955191993,19.7505709577524,9.855631e-07,9.855631e-07
"V8273",28.1765594482422,-7.24296951293945,NA,14.903489112854,14.3144159317017,13.7678165435791,13.4605503082275,0.114530024047009,3.19007210880518e-06,55.8280700628493,27.6511091175059,2.3810187e-06,2.3810187e-06
"V4026",33.7660522460938,-21.5586109161377,NA,14.2113666534424,13.6897583007812,13.0200004577637,12.8100004196167,0.114479458426617,0.00112469438374851,52.0935607845959,27.2617269479295,1.527909e-06,1.5262085e-06
"V55058",37.5927543640137,-20.2843704223633,NA,13.7197923660278,13.23508644104,12.5229997634888,12.3686568832397,0.114473679215558,3.78303131165492e-06,60.4092223633671,24.7937828676476,9.016037e-07,9.0125394e-07
"V3895",20.4636306762695,-32.4955024719238,NA,15.7707405090332,15.2399864196777,14.5467710494995,14.2787637710571,0.114421347472977,0.00188630025677783,51.8814741279542,26.6335283764172,7.694535e-07,7.6925255e-07
"V14967",2.4845986366272,-19.3065605163574,NA,14.5631608963013,14.0250339508057,13.4654178619385,13.175802230835,0.11437972751685,4.81217213299523e-07,53.886968311745,20.2354141509188,3.8420112e-07,3.841715e-07
"V1286",31.0390739440918,-17.6647071838379,3.4586296081543,15.0723209381104,14.4920244216919,13.8864870071411,13.559534072876,0.114378090811849,1.28333788040891e-10,57.7352719855597,22.0379609583512,2.482482e-07,2.4823615e-07
"V6308",26.9699859619141,-20.336950302124,NA,15.9382638931274,15.3119239807129,14.6769962310791,14.3335876464844,0.114363479591798,5.44353201326064e-06,58.3369274373852,19.2463520116425,9.783753e-07,9.779284e-07
"V17464",40.8249855041504,-33.495361328125,NA,15.1336231231689,14.6165761947632,13.97669506073,13.7044515609741,0.11434304278411,0.00557416172605718,55.2961722285813,19.1569193832726,1.0137405e-06,1.0137405e-06
"V74475",-19.4163551330566,-24.4521255493164,NA,14.1101083755493,13.5601425170898,13.033595085144,12.6802280044556,0.114255926015309,0.00253083816073574,59.6888178696949,27.1724046350443,1.4809872e-06,1.4809872e-06
"V6955",3.23155641555786,-21.2522506713867,NA,16.7355976104736,16.0221328735352,15.3503408432007,14.9566831588745,0.114244850904846,5.59413957379462e-08,55.810803159383,19.7059254047662,9.950855e-07,9.949619e-07
"V18894",9.58951759338379,-12.1893520355225,NA,13.353346824646,12.7280578231812,12.048999786377,11.7745072937012,0.114156206186449,1.14878459300805e-07,62.1576056625167,25.4134245279409,1.2330314e-06,1.2330314e-06
"V8359",37.4232711791992,-23.4537048339844,NA,15.1590509414673,14.5760259628296,13.9052219390869,13.6376304626465,0.114072710270643,0.000770801527142151,52.0356052641844,24.5424645325517,1.0491748e-06,1.0486237e-06
"V84661",32.9261703491211,-8.56338405609131,NA,14.1083164215088,13.6276006698608,13.0155305862427,12.7609727478027,0.114054531719854,1.82867054832059e-11,56.6212572296678,20.8393885004856,7.9700783e-07,7.9653285e-07
"V16516",4.72813510894775,-14.8425855636597,NA,14.5679588317871,13.9898996353149,13.4256200790405,13.1094627380371,0.113921342511647,4.30977804555255e-08,54.9750573040205,29.6837700678323,8.5812667e-07,8.5782506e-07
"V27428",25.425724029541,-12.7724313735962,NA,14.9787244796753,14.4113435745239,13.814061164856,13.4976739883423,0.113735207324116,5.86440229710661e-10,58.2388476164114,20.6534409071616,5.5077356e-07,5.5077356e-07
"V6721",3.78731298446655,-23.5650768280029,NA,13.9056158065796,13.4068365097046,12.6929998397827,12.4823291397095,0.113679756292315,0.000155423720737846,55.8548996063531,20.303356460789,8.7595834e-07,8.7595834e-07
"V4643",13.2819557189941,-26.4698162078857,NA,16.0752029418945,15.4681596755981,14.9026880264282,14.5506534576416,0.113632024845805,6.24042866048669e-07,53.4303825002286,20.2931557228447,4.878146e-07,4.878146e-07
"V4547",2.76493859291077,-8.46677589416504,NA,NA,8.95199966430664,8.77799987792969,8.6850004196167,0.113485980158824,1.32795117235851e-07,60.6764714746017,27.0892674862444,7.755873e-06,7.5422377e-06
"V5626",-2.13906764984131,-28.1630859375,NA,15.208984375,14.6322298049927,13.9766721725464,13.6485080718994,0.113370241440109,0.00523582117383237,62.0306268137191,24.6705600045705,1.4303711e-06,1.4303711e-06
